Total Meters,Total Non-Comms,Non-Comms %
124344,7847,6.31
74402,1158,1.56
65694,3641,5.54
116624,9810,8.41
63325,9028,14.26
78677,1029,1.31
71070,3135,4.41
83109,8511,10.24
76908,2352,3.06
102912,1548,1.5
93324,8820,9.45
98895,1955,1.98
69913,8999,12.87
94602,3997,4.23
107294,1865,1.74
85483,4672,5.47
87785,4153,4.73
115554,3581,3.1
123784,6413,5.18
128913,6058,4.7
89821,9094,10.12
67031,1206,1.8
62569,4382,7
111180,7175,6.45
67886,4305,6.34
109314,4187,3.83
67464,8765,12.99
129661,1026,0.79
113272,3586,3.17
81508,8848,10.86
65953,683,1.04
102850,7162,6.96
89998,2291,2.55
86192,9687,11.24
96328,3617,3.75
67518,321,0.48
110934,689,0.62
104378,748,0.72
98411,875,0.89
99345,407,0.41
104743,507,0.48
104945,328,0.31
69529,810,1.16
118725,445,0.37
121984,577,0.47
84614,883,1.04
127497,195,0.15
128111,509,0.4
68999,743,1.08
113183,693,0.61
66446,771,1.16
87719,572,0.65
108790,560,0.51
91759,622,0.68
63764,307,0.48
83347,359,0.43
104906,279,0.27
76825,896,1.17
72983,620,0.85
83564,254,0.3
63650,778,1.22
121230,773,0.64
69389,809,1.17
90250,187,0.21
98014,115,0.12
123968,294,0.24
97533,455,0.47
91932,396,0.43
94620,532,0.56
129611,500,0.39
81314,407,0.5
63073,23,0.04
103823,17329,16.69
66913,395,0.59
85182,14579,17.12
78916,12741,16.15
91633,11327,12.36
121545,28627,23.55
68119,13492,19.81
95386,12993,13.62
92166,5866,6.36
99009,30105,30.4
117941,11920,10.11
114454,15038,13.14
116801,2649,2.27
124925,14203,11.37
119191,2170,1.82
117882,11838,10.04
122697,1172,0.96
72111,19098,26.48
124253,12740,10.25
